Number,Name,Image,Zugehörigkeit,Moved,Specialty 1,Specialty 2,Ideal Habitat,Favorite 1,Favorite 2,Favorite 3,Favorite 4,Favorite 5,Favorite 6
#023,Victreebel,,Thomas,,Grow,Chop,Humid,Lots of nature,Wooden stuff,Lots of dirt,Colorful stuff,Pretty flowers,Bitter flavors
#024,Slowpoke,,Daniel,,Water,Yawn,Humid,Lots of water,Cleanliness,Strange stuff,Soft stuff,Healing,Dry flavors
#025,Slowbro,,Daniel,,Water,Trade,Humid,Lots of water,Cleanliness,Strange stuff,Group activities,Healing,Dry flavors
#026,Slowking,,Daniel,Yes,Water,Teleport,Humid,Lots of water,Cleanliness,Strange stuff,Group activities,Healing,Sour Flavors
#027,Magnemite,,Daniel,Yes,Generate,,Bright,Electronics,Metal stuff,Shiny stuff,Hard stuff,Group activities,Bitter flavors
#028,Magneton,,Daniel,Yes,Generate,,Bright,Electronics,Metal stuff,Shiny stuff,Gatherings,Group activities,Bitter flavors
#029,Magnezone,,Daniel,,Generate,Recycle,Bright,Electronics,Metal stuff,Luxury,Gatherings,Hard stuff,Bitter flavors
#030,Onix,,Shared,No,Crush,Bulldoze,Dry,Stone stuff,Lots of dirt,Blocky stuff,Slender objects,Exercise,Dry flavors
#031,Steelix,,Shared,Yes,Crush,Bulldoze,Dry,Metal stuff,Lots of dirt,Stone stuff,Slender objects,Hard stuff,Sour Flavors
#032,Cubone,,Thomas,,Build,,Dry,Lots of dirt,Construction,Exercise,Slender objects,Group activities,Bitter flavors
#033,Marowak,,Thomas,,Build,,Dry,Lots of dirt,Construction,Exercise,Slender objects,Luxury,Dry flavors
#034,Tyrogue,,Shared,No,Trade,,Bright,Exercise,Group activities,Fabric,Stone stuff,Round stuff,Spicy flavors
#035,Hitmonlee,,Shared,Yes,Trade,,Bright,Exercise,Group activities,Fabric,Stone stuff,Round stuff,Spicy flavors
#036,Hitmonchan,,Shared,No,Trade,,Bright,Exercise,Group activities,Fabric,Stone stuff,Round stuff,Sweet Flavors
#037,Hitmontop,,Shared,,Trade,,Bright,Exercise,Group activities,Fabric,Stone stuff,Round stuff,Sweet Flavors
#038,Koffing,,Thomas,Yes,Recycle,,Dark,Garbage,Gatherings,Complicated stuff,Soft stuff,Wobbly stuff,Bitter flavors
#039,Weezing,,Thomas,,Recyvle,,Dark,Garbage,Gatherings,Complicated stuff,Soft stuff,Wobbly stuff,Bitter flavors
#040,Tangela,,Daniel,,Grow,Litter,Bright,Lots of nature,Lots of water,Gatherings,Pretty flowers,Slender objects,Sour Flavors
#041,Tangrowth,,Daniel,,Grow,Litter,Humid,Lots of nature,Lots of water,Gatherings,Pretty flowers,Watching stuff,Bitter flavors
#042,Scyther,,Daniel,Yes,Chop,,Bright,Lots of nature,Nice breezes,Wooden stuff,Sharp stuff,Exercise,Spicy Flavors
#043,Scizor,,Daniel,,Chop,,Bright,Lots of nature,Metal stuff,Wooden stuff,Hard stuff,Exercise,Bitter flavors
#044,Pinsir,,Thomas,,Chop,Build,Bright,Lots of nature,Wooden stuff,Pretty flowers,Sharp stuff,Exercise,Spicy flavors
#045,Magikarp,,Shared,Yes,???,,Humid,Lots of water,Ocean vibes,Group activities,Rides,Wobbly stuff,Sweet Flavors
#046,Gyarados,,Shared,,Water,,Humid,Lots of water,Ocean vibes,Nice breezes,Cleanliness,Slender objects,Spicy flavors
#048,Hoothoot,,Thomas,,Trade,Fly,Dark,Soft stuff,Nice breezes,Fabric,Wobbly stuff,Watching stuff,Dry flavors
#049,Noctowl,,Thomas,,Trade,Fly,Dark,Soft stuff,Nice breezes,Letters and words,Containers,Watching stuff,Dry flavors
#050,Heracross,,Shared,,Chop,Build,Bright,Lots of nature,Wooden stuff,Pretty flowers,Looks like food,Exercise,Sweet Flavors
#051,Volbeat,,Daniel,,Hype,,Dark,Lots of nature,Wooden stuff,Shiny stuff,Cute stuff,Group activities,Sweet Flavors
#052,Illumise,,Daniel,Yes,Hype,,Dark,Lots of nature,Wooden stuff,Shiny stuff,Cute stuff,Group activities,Sour Flavors
#053,Gulpin,,Daniel,,Storage,,Humid,Cute stuff,Looks like food,Round stuff,Containers,Colorful stuff,Spicy flavors
#054,Swalot,,Daniel,,Storage,,Humid,Garbage,Looks like food,Round stuff,Containers,Colorful stuff,Bitter flavors
#055,Cacnea,,Shared,Yes,Grow,,Dry,Lots of nature,Pretty flowers,Cute stuff,Round stuff,Sharp stuff,Spicy flavors
#056,Cacturne,,Shared,,Grow,Litter,Dry,Lots of nature,Nice breezes,Luxury,Shiny stuff,Sharp stuff,Dry flavors
#057,Combee,,Thomas,,Litter,,Bright,Lots of nature,Nice breezes,Wooden stuff,Gatherings,Group activities,Sweet Flavors
#058,Vespiquen,,Thomas,Yes,Gather Honey,Search,Bright,Lots of nature,Nice breezes,Wooden stuff,Gatherings,Complicated stuff,Sweet Flavors
#059,Shellos,,Thomas,,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Colorful stuff,Containers,Sour Flavors
#059,Shellos East Sea,,Daniel,,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Colorful stuff,Containers,Dry flavors
#060,Gastrodon,,Thomas,,Water,Trade,Humid,Lots of water,Lots of dirt,Ocean vibes,Cleanliness,Containers,Sour Flavors
#060,Gastrodon East Sea,,Daniel,,Water,Trade,Humid,Lots of water,Lots of dirt,Ocean vibes,Cleanliness,Containers,Dry flavors
#061,Drifloon,,Shared,Yes,Dream Island,,Warm,Spooky stuff,Strange stuff,Nice breezes,Cute stuff,Round stuff,Bitter flavors
#062,Drifblim,,Shared,Yes,Fly,Gather,Warm,Spooky stuff,Strange stuff,Nice breezes,Wobbly stuff,Spinning stuff,Bitter flavors
#063,Drilbur,,Shared,,Search,,Dark,Lots of dirt,Strange stuff,Lots of nature,Watching stuff,Sharp stuff,Sour Flavors
#064,Excadrill,,Shared,,Search,Chop,Dark,Lots of dirt,Metal stuff,Exercise,Watching stuff,Sharp stuff,Sour Flavors
#065,Timburr,,Thomas,Yes,Build,,Bright,Exercise,Construction,Wooden stuff,Slender objects,Blocky stuff,Spicy flavors
#066,Gurdurr,,Thomas,Yes,Build,,Bright,Exercise,Construction,Metal stuff,Slender objects,Group activities,Spicy flavors
#067,Conkeldurr,,Thomas,,Build,Crush,Bright,Exercise,Construction,Stone stuff,Slender objects,Group activities,Spicy flavors
#068,Litwick,,Daniel,,Burn,,Warm,Spooky stuff,Strange stuff,Lots of fire,Wobbly stuff,Blocky stuff,Bitter flavors
#069,Lampent,,Daniel,,Burn,,Warm,Spooky stuff,Strange stuff,Lots of fire,Wobbly stuff,Containers,Bitter flavors
#070,Chandelure,,Daniel,Yes,Burn,,Warm,Spooky stuff,Strange stuff,Lots of fire,Wobbly stuff,Watching stuff,Dry flavors
#071,Axew,,Daniel,Yes,Chop,,Dark,Lots of fire,Luxury,Lots of dirt,Hard stuff,Sharp stuff,Sweet Flavors
#072,Fraxure,,Daniel,Yes,Chop,,Dark,Lots of fire,Luxury,Lots of dirt,Exercise,Sharp stuff,Spicy flavors
#073,Haxorus,,Daniel,,Chop,Litter,Dark,Lots of fire,Luxury,Lots of dirt,Exercise,Sharp stuff,Sour Flavors
#074,Goomy,,Shared,,Water,,Humid,Lots of water,Luxury,Lots of nature,Cleanliness,Healing,Sweet Flavors
#075,Sliggoo,,Shared,,Water,,Humid,Lots of water,Luxury,Soft stuff,Cleanliness,Healing,Sweet Flavors
#076,Goodra,,Shared,,Water,Trade,Humid,Lots of water,Luxury,Exercise,Cleanliness,Healing,Sour Flavors
#077,Cramorant,,Shared,,Fly,Water,Humid,Nice breezes,Lots of water,Ocean vibes,Slender objects,Looks like food,Bitter flavors
#078,Pichu,,Daniel,,Generate,,Bright,Electronics,Glass stuff,Cute stuff,Pretty flowers,Fabric,Sweet Flavors
#079,Peakychu,,Daniel,,Illuminate,,Bright,Electronics,Glass stuff,Cute stuff,Healing,Letters and words,Sweet Flavors
#079,Pikachu,,Daniel,,Generate,,Bright,Electronics,Glass stuff,Group activities,Round stuff,Rides,Sour Flavors
#080,Raichu,,Daniel,,Generate,Hype,Bright,Electronics,Glass stuff,Group activities,Round stuff,Play spaces,Sour Flavors
#081,Zubat,,Daniel,Yes,Search,,Dark,Spooky stuff,Nice breezes,Wooden stuff,Noise stuff,Complicated stuff,Spicy flavors
#082,Golbat,,Daniel,,Search,,Dark,Spooky stuff,Nice breezes,Wooden stuff,Noise stuff,Complicated stuff,Spicy flavors
#083,Crobat,,Daniel,,Search,Chop,Dark,Spooky stuff,Nice breezes,Wooden stuff,Garbage,Watching stuff,Dry flavors
#084,Meowth,,Shared,,Trade,,Cool,Containers,Group activities,Shiny stuff,Glass stuff,Luxury,Spicy Flavors
#085,Persian,,Shared,,Trade,Search,Cool,Containers,Group activities,Shiny stuff,Watching stuff,Luxury,Sour Flavors
#086,Psyduck,,Shared,,Search,,Humid,Lots of water,Ocean vibes,Strange stuff,Complicated stuff,Healing,Dry flavors
#087,Golduck,,Shared,,Search,,Humid,Lots of water,Ocean vibes,Strange stuff,Complicated stuff,Sharp stuff,Dry flavors
#088,Growlithe,,Thomas,Yes,Burn,Search,Warm,Lots of fire,Stone stuff,Nice breezes,Letters and words,Pretty flowers,Sweet Flavors
#089,Arcanine,,Thomas,,Burn,Search,Warm,Lots of fire,Stone stuff,Nice breezes,Watching stuff,Symbols,Spicy Flavors
#091,Grimer,,Thomas,,Litter,,Dark,Garbage,Spooky stuff,Gatherings,Shiny stuff,Containers,Bitter flavors
#092,Muk,,Thomas,,Litter,,Dark,Garbage,Spooky stuff,Gatherings,Shiny stuff,Colorful stuff,Bitter flavors
#093,Gastly,,Thomas,Yes,Gather,Trade,Dark,Spooky stuff,Strange stuff,Garbage,Containers,Group activities,Spicy flavors
#094,Haunter,,Thomas,,Gather,Trade,Dark,Spooky stuff,Strange stuff,Garbage,Wobbly stuff,Group activities,Spicy flavors
#095,Gengar,,Thomas,,Gather,Trade,Dark,Spooky stuff,Strange stuff,Garbage,Rides,Group activities,Sweet Flavors
#096,Voltorb,,Shared,Yes,Generate,Explode,Bright,Electronics,Shiny stuff,Round stuff,Colorful stuff,Spinning stuff,Bitter flavors
#097,Electrode,,Shared,,Generate,Explode,Bright,Electronics,Shiny stuff,Round stuff,Play spaces,Spinning stuff,Sour Flavors
#098,Exeggcute,,Thomas,Yes,Grow,Teleport,Bright,Lots of nature,Strange stuff,Gatherings,Watching stuff,Group activities,Spicy flavors
#099,Exeggutor,,Thomas,Yes,Grow,Teleport,Bright,Lots of nature,Strange stuff,Gatherings,Watching stuff,Wooden stuff,Dry flavors
#100,Happiny,,Shared,,Trade,,Bright,Soft stuff,Fabric,Healing,Round stuff,Containers,Sweet Flavors
#101,Chansey,,Shared,,Trade,,Bright,Soft stuff,Fabric,Healing,Round stuff,Group activities,Sweet Flavors
#102,Blissey,,Shared,,Trade,Litter,Bright,Soft stuff,Fabric,Healing,Round stuff,Group activities,Sour Flavors
#103,Elekid,,Daniel,Yes,Generate,,Bright,Electronics,Glass stuff,Cute stuff,Round stuff,Spinning stuff,Sweet Flavors
#104,Electabuzz,,Daniel,,Generate,,Bright,Electronics,Glass stuff,Lots of fire,Sharp stuff,Exercise,Spicy flavors
#105,Electivire,,Daniel,Yes,Generate,Crush,Bright,Electronics,Glass stuff,Lots of fire,Hard stuff,Exercise,Sour Flavors
#106,Lapras,,Shared,,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Watching stuff,Healing,Sour Flavors
#107,Munchlax,,Daniel,,Bulldoze,,Warm,Soft stuff,Lots of nature,Looks like food,Wobbly stuff,Group activities,Dry flavors
#108,Mosslax,,Shared,,Eat,,Bright,Soft stuff,Fabric,Looks like food,Watching stuff,Strange stuff,Spicy flavors
#109,Snorlax,,Daniel,,Trade,Bulldoze,Warm,Soft stuff,Fabric,Looks like food,Wobbly stuff,Rides,Dry flavors
#109,Spinarak,,Thomas,,Litter,,Humid,Lots of nature,Wooden stuff,Garbage,Rides,Colorful stuff,Bitter flavors
#110,Ariados,,Thomas,,Litter,,Humid,Lots of nature,Wooden stuff,Garbage,Rides,Colorful stuff,Sour Flavors
#111,Mareep,,Thomas,Yes,Generate,Litter,Bright,Electronics,Shiny stuff,Glass stuff,Cute stuff,Fabric,Sweet Flavors
#112,Flaaffy,,Thomas,,Generate,Litter,Bright,Electronics,Shiny stuff,Glass stuff,Cute stuff,Rides,Bitter flavors
#113,Ampharos,,Thomas,Yes,Generate,Trade,Bright,Electronics,Shiny stuff,Glass stuff,Cute stuff,Pretty flowers,Sour Flavors
#114,Azurill,,Shared,,Water,Hype,Humid,Lots of water,Cute stuff,Cleanliness,Healing,Rides,Sour Flavors
#115,Marill,,Shared,Yes,Water,Hype,Humid,Lots of water,Cute stuff,Cleanliness,Round stuff,Symbols,Sour Flavors
#116,Azumarill,,Shared,,Water,Build,Humid,Lots of water,Cute stuff,Construction,Wobbly stuff,Symbols,Sour Flavors
#117,Paldean Wooper,,Shared,,Litter,,Humid,Garbage,Lots of dirt,Stone stuff,Cleanliness,Group activities,Sour Flavors
#118,Clodsire,,Shared,Yes,Litter,Bulldoze,Humid,Garbage,Lots of dirt,Lots of water,Cleanliness,Round stuff,Bitter flavors
#119,Smeargle,,Shared,,Paint,,Bright,Soft stuff,Fabric,Strange stuff,Colorful stuff,Shiny stuff,Dry flavors
#120,Torchic,,Thomas,Yes,Burn,,Warm,Lots of fire,Stone stuff,Cute stuff,Containers,Pretty flowers,Sweet Flavors
#121,Combusken,,Thomas,Yes,Burn,Build,Warm,Lots of fire,Stone stuff,Exercise,Containers,Construction,Spicy flavors
#122,Blaziken,,Thomas,,Burn,Build,Warm,Lots of fire,Luxury,Exercise,Containers,Construction,Spicy flavors
#123,Wingull,,Shared,,Water,Fly,Humid,Lots of water,Nice breezes,Cleanliness,Ocean vibes,Watching stuff,Dry flavors
#124,Pelipper,,Shared,,Water,Fly,Humid,Lots of water,Nice breezes,Cleanliness,Ocean vibes,Watching stuff,Dry flavors
#125,Makuhita,,Thomas,Yes,Build,Bulldoze,Bright,Exercise,Construction,Fabric,Round stuff,Wooden stuff,Sweet Flavors
#126,Hariyama,,Thomas,Yes,Build,Bulldoze,Bright,Exercise,Construction,Fabric,Round stuff,Rides,Spicy flavors
#127,Absol,,Daniel,Yes,Chop,,Dark,Soft stuff,Nice breezes,Letters and words,Complicated stuff,Exercise,Dry flavors
#128,Piplup,,Daniel,,Water,,Humid,Lots of water,Ocean vibes,Nice breezes,Cleanliness,Containers,Sweet Flavors
#129,Prinplup,,Daniel,Yes,Water,Trade,Humid,Lots of water,Ocean vibes,Nice breezes,Cleanliness,Containers,Dry flavors
#130,Empoleon,,Daniel,,Water,Trade,Humid,Lots of water,Ocean vibes,Metal stuff,Cleanliness,Letters and words,Bitter flavors
#131,Audino,,Shared,Yes,Trade,,Bright,Soft stuff,Fabric,Healing,Cute stuff,Round stuff,Bitter flavors
#132,Trubbish,,Thomas,Yes,Recycle,,Humid,Garbage,Construction,Complicated stuff,Shiny stuff,Gatherings,Bitter flavors
#133,Garbodor,,Thomas,,Recycle,Litter,Humid,Garbage,Containers,Complicated stuff,Shiny stuff,Gatherings,Sour Flavors
#134,Zorua,,Daniel,Yes,Trade,,Dark,Shiny stuff,Luxury,Glass stuff,Cute stuff,Group activities,Sour Flavors
#135,Zoroark,,Daniel,,Trade,Chop,Dark,Shiny stuff,Luxury,Glass stuff,Strange stuff,Group activities,Spicy Flavors
#136,Minccino,,Shared,,Gather,,Bright,Soft stuff,Fabric,Rides,Cute stuff,Cleanliness,Sweet Flavors
#137,Cinccino,,Shared,,Gather,Recycle,Bright,Soft stuff,Fabric,Rides,Cute stuff,Cleanliness,Sour Flavors
#138,Grubbin,,Thomas,Yes,Chop,,Bright,Lots of nature,Electronics,Watching stuff,Lots of dirt,Containers,Dry flavors
#139,Charjabug,,Thomas,Yes,Generate,Chop,Bright,Lots of nature,Electronics,Watching stuff,Glass stuff,Blocky stuff,Bitter flavors
#140,Vikavolt,,Thomas,,Generate,Chop,Bright,Lots of nature,Electronics,Exercise,Glass stuff,Nice breezes,Dry flavors
#141,Mimikyu,,Daniel,,Trade,,Dark,Spooky stuff,Cute stuff,Electronics,Fabric,Group activities,Bitter flavors
#142,Pawmi,,Shared,Yes,Generate,,Bright,Electronics,Shiny stuff,Cute stuff,Glass stuff,Group activities,Sweet Flavors
#143,Pawmo,,Shared,Yes,Generate,Crush,Bright,Electronics,Shiny stuff,Exercise,Glass stuff,Group activities,Sweet Flavors
#144,Pawmot,,Shared,Yes,Generate,Crush,Bright,Electronics,Shiny stuff,Exercise,Healing,Group activities,Dry flavors
#145,Tatsugiri Curly Form,,Shared,,Trade,,Humid,,,,,,
#145,Tatsugiri Droopy Form,,Shared,,Trade,,Humid,Lots of water,Ocean vibes,Group activities,Spinning stuff,Blocky stuff,Sweet Flavors
#145,Tatsugiri Stretchy Form,,Shared,,Trade,,Humid,Lots of water,Ocean vibes,Group activities,Letters and words,Containers,Spicy flavors
#146,Ekans,,Thomas,Yes,Search,,Dark,Garbage,Watching stuff,Lots of nature,Slender objects,Spinning stuff,Spicy flavors
#147,Arbok,,Thomas,Yes,Search,,Dark,Garbage,Watching stuff,Lots of nature,Slender objects,Spinning stuff,Spicy flavors
#148,Cleffa,,Shared,Yes,Hype,,Dark,Cute stuff,Round stuff,Colorful stuff,Healing,Rides,Sweet Flavors
#149,Clefairy,,Shared,Yes,Hype,,Dark,Cute stuff,Play spaces,Pretty flowers,Healing,Group activities,Sweet Flavors
#150,Clefable,,Shared,,Hype,Trade,Dark,Cute stuff,Play spaces,Pretty flowers,Healing,Group activities,Sour Flavors
#151,Igglybuff,,Shared,,Hype,,Warm,Soft stuff,Cute stuff,Play spaces,Healing,Noisy stuff,Sweet Flavors
#152,Jigglypuff,,Shared,,Hype,,Bright,Soft stuff,Cute stuff,Play spaces,Healing,Wobbly stuff,Sweet Flavors
#153,Wigglytuff,,Shared,,Hype,Trade,Bright,Soft stuff,Cute stuff,Play spaces,Healing,Group activities,Sour Flavors
#154,Diglett,,Shared,Yes,Hype,,Dark,Lots of dirt,Play spaces,Cute stuff,Group activities,Slender objects,Bitter flavors
#155,Dugtrio,,Shared,,Hype,Crush,Dark,Lots of dirt,Play spaces,Gatherings,Group activities,Slender objects,Spicy flavors
#156,Machop,,Thomas,Yes,Build,Gather,Bright,Exercise,Construction,Stone stuff,Hard stuff,Group activities,Spicy Flavors
#157,Machoke,,Thomas,,Build,Gather,Bright,Exercise,Construction,Stone stuff,Hard stuff,Group activities,Sour Flavors
#158,Machamp,,Thomas,Yes,Build,Gather,Bright,Exercise,Construction,Stone stuff,Hard stuff,Group activities,Spicy flavors
#159,Geodude,,Thomas,,Crush,,Dark,Stone stuff,Hard stuff,Spinning stuff,Round stuff,Exercise,Dry flavors
#160,Graveler,,Thomas,,Crush,,Dark,Stone stuff,Hard stuff,Spinning stuff,Round stuff,Exercise,Bitter flavors
#161,Golem,,Thomas,,Crush,Trade,Dark,Stone stuff,Hard stuff,Spinning stuff,Round stuff,Exercise,Sour Flavors
#162,Magby,,Thomas,Yes,Burn,,Warm,Lots of fire,Stone stuff,Watching stuff,Cute stuff,Wobbly stuff,Sweet Flavors
#163,Magmar,,Thomas,,Burn,,Warm,Lots of fire,Stone stuff,Electronics,Hard stuff,Exercise,Sweet Flavors
#164,Magmortar,,Thomas,,Burn,Crush,Warm,Lots of fire,Stone stuff,Electronics,Hard stuff,Exercise,Dry flavors
#165,Bonsly,,Shared,Yes,Bulldoze,,Dry,Stone stuff,Hard stuff,Lots of nature,Wooden stuff,Round stuff,Sour Flavors
#166,Sudowoodo,,Shared,Yes,Trade,,Dry,Stone stuff,Hard stuff,Lots of nature,Wooden stuff,Watching stuff,Dry flavors
#167,Murkrow,,Daniel,Yes,Trade,Fly,Dark,Shiny stuff,Nice breezes,Group activities,Luxury,Fabric,Bitter flavors
#168,Honchkrow,,Daniel,,Trade,Fly,Dark,Shiny stuff,Nice breezes,Spooky stuff,Letters and words,Glass stuff,Bitter flavors
#169,Larvitar,,Daniel,,Crush,Bulldoze,Dark,Stone stuff,Lots of dirt,Luxury,Shiny stuff,Looks like food,Sweet Flavors
#170,Pupitar,,Daniel,,Crush,Bulldoze,Dark,Stone stuff,Hard stuff,Luxury,Shiny stuff,Watching stuff,Dry flavors
#171,Tyranitar,,Daniel,,Crush,Bulldoze,Dark,Stone stuff,Hard stuff,Luxury,Shiny stuff,Exercise,Spicy flavors
#172,Lotad,,Shared,,Water,,Humid,Lots of water,Lots of nature,Cleanliness,Containers,Noisy stuff,Dry flavors
#173,Lombre,,Shared,,Water,,Humid,Lots of water,Lots of nature,Cleanliness,Containers,Noisy stuff,Bitter flavors
#174,Ludicolo,,Shared,,Water,Hype,Humid,Lots of water,Lots of nature,Play spaces,Containers,Noisy stuff,Dry flavors
#175,Mawile,,Shared,Yes,Trade,Build,Bright,Metal stuff,Cute stuff,Colorful stuff,Looks like food,Group activities,Dry flavors
#176,Torkoal,,Daniel,Yes,Burn,,Warm,Lots of fire,Stone stuff,Metal stuff,Hard stuff,Watching stuff,Dry flavors
#177,Kricketot,,Shared,,Hype,,Dark,Lots of nature,Wooden stuff,Noisy stuff,Colorful stuff,Watching stuff,Bitter flavors
#178,Kricketune,,Shared,Yes,Hype,,Dark,Lots of nature,Wooden stuff,Noisy stuff,Colorful stuff,Watching stuff,Spicy Flavors
#179,Chatot,,Shared,,Hype,Fly,Warm,Nice breezes,Fabric,Slender objects,Play spaces,Noisy stuff,Sweet Flavors
#180,Riolu,,Shared,,Build,,Dark,Exercise,Fabric,Construction,Gatherings,Watching stuff,Spicy Flavors
#181,Lucario,,Shared,,Build,,Dark,Exercise,Metal stuff,Construction,Complicated stuff,Healing,Dry flavors
#182,Stereo Rotom,,Daniel,Yes,DJ,,Bright,Shiny stuff,Glass stuff,Noisy stuff,Group activities,Blocky stuff,Bitter flavors
#183,Larvesta,,Thomas,Yes,Burn,,Dry,Lots of nature,Lots of fire,Sharp stuff,Wooden stuff,Symbols,Bitter flavors
#184,Volcarona,,Thomas,,Burn,Litter,Dry,Lots of nature,Lots of fire,Letters and words,Wooden stuff,Symbols,Dry flavors
#185,Rowlet,,Thomas,Yes,Grow,,Dark,Lots of nature,Wooden stuff,Nice breezes,Containers,Spinning stuff,Dry flavors
#186,Dartrix,,Thomas,Yes,Grow,Chop,Dark,Lots of nature,Wooden stuff,Nice breezes,Slender objects,Cleanliness,Sour Flavors
#187,Decidueye,,Thomas,Yes,Grow,Chop,Dark,Lots of nature,Spooky stuff,Wooden stuff,Nice breezes,Letters and words,Dry flavors
#188,Scorbunny,,Shared,,Burn,,Warm,Lots of fire,Stone stuff,Soft stuff,Group activities,Sharp stuff,Dry flavors
#189,Raboot,,Shared,Yes,Burn,,Warm,Lots of fire,Stone stuff,Play spaces,Group activities,Containers,Dry flavors
#190,Cinderace,,Shared,,Burn,Hype,Warm,Lots of fire,Stone stuff,Play spaces,Group activities,Round stuff,Spicy flavors
#191,Skwovet,,Shared,,Search,Hype,Warm,Soft stuff,Wooden stuff,Watching stuff,Looks like food,Round stuff,Dry flavors
#192,Greedent,,Shared,,Party,,Warm,Soft stuff,Metal stuff,Group activities,Looks like food,Luxury,Sweet Flavors
#193,Rolycoly,,Daniel,,Burn,Gather,Warm,Stone stuff,Lots of fire,Hard stuff,Metal stuff,Rides,Sour Flavors
#194,Carkol,,Daniel,Yes,Burn,Gather,Warm,Stone stuff,Lots of fire,Hard stuff,Metal stuff,Rides,Spicy flavors
#195,Coalossal,,Daniel,,Burn,Gather,Warm,Stone stuff,Lots of fire,Hard stuff,Metal stuff,Rides,Spicy flavors
#196,Toxel,,Daniel,Yes,Generate,,Humid,Electronics,Shiny stuff,Noisy stuff,Glass stuff,Garbage,Sweet Flavors
#197,Toxtricity Amped Form,,Daniel,,Generate,Hype,Humid,Electronics,Play spaces,Noisy stuff,Slender objects,Sharp stuff,Spicy flavors
#198,Fidough,,Shared,,Search,,Warm,Cute stuff,Watching stuff,Soft stuff,Lots of fire,Letters and words,Sweet Flavors
#199,Dachsbun,,Shared,Yes,Search,Trade,Warm,Cute stuff,Watching stuff,Group activities,Lots of fire,Looks like food,Sour Flavors
#200,Charcadet,,Shared,Yes,Burn,,Warm,Lots of fire,Stone stuff,Strange stuff,Exercise,Luxury,Sweet Flavors
#201,Armarouge,,Shared,,Burn,,Warm,Lots of fire,Stone stuff,Strange stuff,Exercise,Luxury,Spicy flavors
